[Volt (V)],[Current (mA)]
-1.200000047684,-2.041860716417
-1.179999947548,-2.048351801932
-1.159999966621,-2.059679944068
-1.139999985695,-2.057424746454
-1.120000004768,-2.056046389043
-1.100000023842,-2.055480144918
-1.080000042915,-2.05862428993
-1.05999994278,-2.039692597464
-1.039999961853,-2.04027374275
-1.019999980927,-2.033974975348
-1,-2.047679619864
-0.980000019073,-2.044437918812
-0.959999978542,-2.041442552581
-0.939999997616,-2.040536841378
-0.920000016689,-2.045226981863
-0.899999976158,-2.041305182502
-0.879999995232,-2.042863285169
-0.860000014305,-2.033445518464
-0.839999973774,-2.036007819697
-0.819999992847,-2.030482748523
-0.800000011921,-2.040603198111
-0.77999997139,-2.036961959675
-0.759999990463,-2.04167724587
-0.740000009537,-2.038259059191
-0.72000002861,-2.037035534158
-0.699999988079,-2.041543135419
-0.680000007153,-2.032514195889
-0.660000026226,-2.020274056122
-0.639999985695,-2.015680773184
-0.620000004768,-2.028618939221
-0.600000023842,-2.0305828657
-0.579999983311,-2.030167030171
-0.560000002384,-2.027085749432
-0.540000021458,-2.024222398177
-0.519999980927,-2.02337699011
-0.5,-2.018530620262
-0.479999989271,-2.020178129897
-0.460000008345,-2.018470782787
-0.439999997616,-2.020283602178
-0.419999986887,-2.023812150583
-0.40000000596,-2.027084585279
-0.379999995232,-2.033497672528
-0.360000014305,-2.024539979175
-0.340000003576,-2.017443533987
-0.319999992847,-2.014058409259
-0.300000011921,-2.011867472902
-0.280000001192,-2.007972449064
-0.259999990463,-2.019223524258
-0.239999994636,-2.018386963755
-0.219999998808,-2.020715503022
-0.20000000298,-2.012739190832
-0.180000007153,-2.002586610615
-0.159999996424,-1.998370280489
-0.140000000596,-2.004430629313
-0.119999997318,-2.007955452427
-0.10000000149,-1.997607527301
-0.079999998212,-2.000329317525
-0.059999998659,-2.005723072216
-0.039999999106,-2.001841086894
-0.019999999553,-1.999670639634
-0,-2.00189743191
0.019999999553,-1.997593091801
0.039999999106,-1.990188378841
0.059999998659,-1.993156503886
0.079999998212,-1.992265693843
0.10000000149,-1.99086824432
0.119999997318,-1.985137118027
0.140000000596,-1.977097475901
0.159999996424,-1.972530968487
0.180000007153,-1.97110325098
0.20000000298,-1.970686018467
0.219999998808,-1.969865523279
0.239999994636,-1.963578630239
0.259999990463,-1.957431901246
0.280000001192,-1.95662281476
0.300000011921,-1.959019340575
0.319999992847,-1.946262200363
0.340000003576,-1.948799123056
0.360000014305,-1.953853759915
0.379999995232,-1.953478669748
0.40000000596,-1.943168463185
0.419999986887,-1.936991000548
0.439999997616,-1.931706792675
0.460000008345,-1.927533885464
0.479999989271,-1.915627508424
0.5,-1.898174290545
0.519999980927,-1.884901896119
0.540000021458,-1.874748966657
0.560000002384,-1.857961295173
0.579999983311,-1.834718277678
0.600000023842,-1.824653008953
0.620000004768,-1.800535712391
0.639999985695,-1.764887361787
0.660000026226,-1.717900042422
0.680000007153,-1.649206969887
0.699999988079,-1.574389403686
0.72000002861,-1.463901833631
0.740000009537,-1.303088618442
0.759999990463,-1.065369928256
0.77999997139,-0.726065947674
0.800000011921,-0.266318646027
0.819999992847,0.346962333424
0.839999973774,1.117929816246
0.860000014305,2.036758000031
0.879999995232,3.099614754319
0.899999976158,4.291372839361
0.920000016689,5.592764355242
0.939999997616,6.988892797381
0.959999978542,8.470267988741
0.980000019073,10.02283859998
1,11.645056307316
1.019999980927,13.310123234987
1.039999961853,15.025603584945
1.05999994278,16.779642552137
1.080000042915,18.570249900222
1.100000023842,20.391780883074
1.120000004768,22.241298109293
1.139999985695,24.117853492498
1.159999966621,26.018867269158
1.179999947548,27.944438159466
1.200000047684,29.887240380049
