[Volt (V)],[Current (mA)]
-1.200000047684,-1.970949117094
-1.179999947548,-1.983883790672
-1.159999966621,-1.968756318092
-1.139999985695,-1.969538396224
-1.120000004768,-1.983021618798
-1.100000023842,-1.980958040804
-1.080000042915,-1.97207252495
-1.05999994278,-1.966229872778
-1.039999961853,-1.965624513105
-1.019999980927,-1.961263362318
-1,-1.966731389984
-0.980000019073,-1.961738569662
-0.959999978542,-1.96557957679
-0.939999997616,-1.955555286258
-0.920000016689,-1.969682052732
-0.899999976158,-1.968703698367
-0.879999995232,-1.963025191799
-0.860000014305,-1.960319234058
-0.839999973774,-1.957873115316
-0.819999992847,-1.958220731467
-0.800000011921,-1.946579432115
-0.77999997139,-1.956746447831
-0.759999990463,-1.964813563973
-0.740000009537,-1.966605661437
-0.72000002861,-1.959443325177
-0.699999988079,-1.957044471055
-0.680000007153,-1.951666781679
-0.660000026226,-1.949724857695
-0.639999985695,-1.951066893525
-0.620000004768,-1.945149269886
-0.600000023842,-1.943958806805
-0.579999983311,-1.947421813384
-0.560000002384,-1.949402969331
-0.540000021458,-1.949071185663
-0.519999980927,-1.942563219927
-0.5,-1.940879155882
-0.479999989271,-1.947623095475
-0.460000008345,-1.948637422174
-0.439999997616,-1.951438724063
-0.419999986887,-1.954017207026
-0.40000000596,-1.945400959812
-0.379999995232,-1.936416490935
-0.360000014305,-1.93815457169
-0.340000003576,-1.943724928424
-0.319999992847,-1.932597020641
-0.300000011921,-1.933457213454
-0.280000001192,-1.933295628987
-0.259999990463,-1.93871522788
-0.239999994636,-1.928060199134
-0.219999998808,-1.923955394886
-0.20000000298,-1.931823324412
-0.180000007153,-1.931749866344
-0.159999996424,-1.933272927999
-0.140000000596,-1.929983729497
-0.119999997318,-1.931840204634
-0.10000000149,-1.928365207277
-0.079999998212,-1.921944669448
-0.059999998659,-1.914767781273
-0.039999999106,-1.911414205097
-0.019999999553,-1.914564520121
-0,-1.91748153884
0.019999999553,-1.922970172018
0.039999999106,-1.918037654832
0.059999998659,-1.909918035381
0.079999998212,-1.905901241116
0.10000000149,-1.903962926008
0.119999997318,-1.902159652673
0.140000000596,-1.909644342959
0.159999996424,-1.899594441056
0.180000007153,-1.897837617435
0.20000000298,-1.900207833387
0.219999998808,-1.899108290672
0.239999994636,-1.880946801975
0.259999990463,-1.88621156849
0.280000001192,-1.892943051644
0.300000011921,-1.890331273898
0.319999992847,-1.885277801193
0.340000003576,-1.875517191365
0.360000014305,-1.86949421186
0.379999995232,-1.873850938864
0.40000000596,-1.872168621048
0.419999986887,-1.865000696853
0.439999997616,-1.856002025306
0.460000008345,-1.845919992775
0.479999989271,-1.834148308262
0.5,-1.807629247196
0.519999980927,-1.79131294135
0.540000021458,-1.766014960594
0.560000002384,-1.747605740093
0.579999983311,-1.725304988213
0.600000023842,-1.688330085017
0.620000004768,-1.646154327318
0.639999985695,-1.604800228961
0.660000026226,-1.554926624522
0.680000007153,-1.488092122599
0.699999988079,-1.390550285578
0.72000002861,-1.265970757231
0.740000009537,-1.113425707445
0.759999990463,-0.886930094566
0.77999997139,-0.567981624044
0.800000011921,-0.135148846311
0.819999992847,0.438619579654
0.839999973774,1.155648264103
0.860000014305,2.020583255216
0.879999995232,3.021907061338
0.899999976158,4.148424137384
0.920000016689,5.381473340094
0.939999997616,6.707463879138
0.959999978542,8.115806616843
0.980000019073,9.593854658306
1,11.141303926706
1.019999980927,12.729077599943
1.039999961853,14.366190880537
1.05999994278,16.041440889239
1.080000042915,17.751157283783
1.100000023842,19.491391256452
1.120000004768,21.259712055326
1.139999985695,23.052856326103
1.159999966621,24.870131164789
1.179999947548,26.7125479877
1.200000047684,28.571018949151
